"Nome";"País";"Posição";"Clube";"Idade";"Salário";"Valor Venda";"Melhor Classificação";"Melhor Classificação Potencial";"ID Único"
"";"Inglaterra";"Def C, MD";"-";"23";"0";"0";"71.3% (M)";"78.8% (M)";"8826161"
"";"Brasil";"M C";"Flamengo";"19";"50";"1.970";"54.5% (M)";"75.4% (M)";"2002098642"
"";"Brasil";"MA DE";"Avaí";"19";"70";"1.390";"49.8% (Pnt)";"72.8% (Pnt)";"2002098643"
"";"Brasil";"Def C";"Flamengo";"19";"50";"1.620";"53.5% (DC)";"72.3% (DC)";"2002098647"
"";"Brasil";"PL";"Botafogo";"19";"50";"0";"60.8% (PLR)";"72.0% (PLR)";"2002098669"
"";"Brasil";"MD";"Botafogo";"18";"50";"0";"54.8% (M)";"70.5% (M)";"2002098671"
"";"Brasil";"MA E, PL";"Petrolina";"19";"50";"2.180";"61.2% (PLR)";"74.0% (PLR)";"2002098673"
"";"França";"GR";"OL";"17";"560";"911.580";"56.1% (GR)";"79.7% (GR)";"2002102289"
"";"França";"MA E";"OM";"16";"60";"145.780";"49.8% (Pnt)";"68.9% (Pnt)";"2002102290"
"";"Brasil";"MA D";"Avaí";"19";"60";"0";"47.6% (Pnt)";"68.2% (Pnt)";"2002102314"
"";"Brasil";"Def DC";"Flamengo";"18";"50";"0";"50.4% (DL)";"75.0% (DL)";"2002102315"
"";"Brasil";"PL";"Palmeiras";"19";"50";"0";"51.5% (PLR)";"73.3% (PLR)";"2002102316"
"";"Brasil";"M DC";"Flamengo";"21";"50";"0";"48.5% (Pnt)";"72.1% (Pnt)";"2002102317"
"";"Brasil";"MA D";"Palmeiras";"18";"50";"0";"50.2% (Pnt)";"72.4% (Pnt)";"2002102318"
"";"Brasil";"MD, MA EC";"Flamengo";"18";"280";"481.160";"54.5% (Pnt)";"81.0% (Pnt)";"2002102319"
"";"Brasil";"MD";"Flamengo";"18";"180";"25.760";"52.8% (M)";"73.7% (M)";"2002102320"
"";"Brasil";"PL";"Flamengo";"18";"50";"2.280";"60.0% (PLR)";"77.7% (PLR)";"2002102321"
"";"Brasil";"MA/Av C";"Flamengo";"18";"50";"0";"50.6% (PLR)";"74.4% (PLR)";"2002102322"
"";"Brasil";"MD";"Flamengo";"20";"50";"0";"45.5% (M)";"69.9% (M)";"2002102323"
"";"Brasil";"Def C";"Flamengo";"18";"50";"0";"53.7% (DC)";"70.4% (DC)";"2002102324"
"";"Brasil";"PL";"Flamengo";"18";"280";"1.255.180";"58.0% (PLR)";"83.5% (PLR)";"2002102325"
"";"Brasil";"Def C";"Flamengo";"18";"50";"2.130";"54.8% (DC)";"72.4% (DC)";"2002102326"
"";"Brasil";"Def C";"Flamengo";"19";"50";"1.880";"53.1% (DC)";"72.6% (DC)";"2002102327"
"";"Brasil";"Def C";"Palmeiras";"20";"50";"1.350";"52.4% (DC)";"73.4% (DC)";"2002102328"
"";"Brasil";"MA DE";"Flamengo";"19";"50";"1.840";"56.9% (Pnt)";"78.3% (Pnt)";"2002102329"
"";"Brasil";"PL";"Internacional";"19";"710";"98.360";"56.9% (PLR)";"85.9% (PLR)";"2002102330"
"Aarão";"Brasil / Portugal";"Def DC";"Clíper";"16";"40";"0";"39.7% (DL)";"54.4% (DL)";"2002160440"
"Aarón";"Espanha";"Def/Ala/M E";"Genoa";"27";"34.280";"8.319.100";"76.3% (Pnt)";"78.1% (Pnt)";"67196209"
"Aarons, Max";"Inglaterra / Jamaica";"Def/Ala D";"Rangers";"24";"48.900";"46.741.830";"82.6% (DL)";"87.5% (DL)";"29173977"
"Aaronson, Brenden";"E.U.A.";"MA DC";"Leeds";"24";"40.000";"20.529.500";"74.8% (Pnt)";"80.0% (Pnt)";"20046423"
"Abada, Liel";"Israel / Portugal";"MA D, PL";"Charlotte FC";"23";"4.680";"1.633.240";"75.1% (Pnt)";"86.5% (Pnt)";"42102601"
"Abarca, Octavio";"Chile";"MA/Av C";"Audax";"16";"20";"1.803.600";"60.7% (PLR)";"84.8% (PLR)";"2002157382"
"Abartaen, Prosper";"Nigéria";"MA EC, PL";"Akwa Utd.";"16";"0";"0";"49.4% (Pnt)";"51.2% (Pnt)";"2002152589"
"Abdelmonem, Mohamed";"Egito";"Def C";"OGC Nice";"25";"47.460";"10.430.230";"76.5% (DC)";"80.5% (DC)";"2000067300"
"Abdi, Ali";"Tunísia";"Def/Ala DE";"OGC Nice";"30";"4.980";"410.920";"71.2% (DL)";"71.2% (DL)";"12055780"
"Abdias, Thiago";"Brasil";"Def EC, MD";"Progresso (RS)";"16";"0";"0";"43.9% (DC)";"70.2% (DC)";"2002160832"
"Abdillahi, Abdi";"Somália";"MA D, PL";"-";"16";"0";"0";"37.4% (Pnt)";"41.9% (Pnt)";"2002153712"
"Abdiomário";"Brasil";"PL";"Barcelona (RO)";"24";"50";"0";"62.7% (PLR)";"63.7% (PLR)";"19335629"
"Abdul Jalil, Didar";"Iraque";"MA EC, Av C";"Al-Zawra'a";"16";"60";"0";"49.1% (PLR)";"67.3% (PLR)";"2002152285"
"Abdulai, Sabit";"Gana";"Def C, MD";"Al-Khor";"25";"3.880";"135.200";"65.9% (DC)";"69.8% (DC)";"67276357"
